Speaker,Utterance,Intent,Slot_Names,Slot_Values
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ungalai varaverkiradhu. Neengal thevayana ask ai price range , area , food type basis la thedalanam. Ungaluku enna uthavi vendum ?
",welcomemsg,,
HUMAN,west part of town la moderately price la restaurant venum,inform,area,west
HUMAN,<SILENCE>,silence,,
BOT,"prezzo west of town la moderate price range la irukkura nalla restaurant
",inform,area,west
HUMAN,vere edhaachu iruka,repeat,,
BOT,"Ungaluku restaurant thaane venum ?
",confirm-domain,,
HUMAN,vera edhavadhu restaurant kudunga,inform,this,dontcare
BOT,"prezzo west of town la moderate price range la irukkura nalla restaurant
",inform,area,west
HUMAN,apram pakalam,ack,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ungalai varaverkiradhu. Neengal thevayana ask ai price range , area , food type basis la thedalanam. Ungaluku enna uthavi vendum ?
",welcomemsg,,
HUMAN,yenakku konjam moderate price irukara restaurant venum,inform,area,west
BOT,"Entha vithamana food venum ?
",request,slot,food
HUMAN,canapes food,inform,food,canapes
BOT,"Entha area mind la vechirukenga ?
",request,slot,area
HUMAN,ethu vishiyamea illa,inform,this,dontcare
HUMAN,<SILENCE>,silence,,
BOT,"yippee_noodle_bar centre of town la moderate price range la irukkura nalla restaurant
",inform,area,centre
HUMAN,gastropub food,thankyou,,
BOT,"Sorry. moderate price range la entha restaurant um illai
",canthelp,"pricerange, food","moderate, canapes"
HUMAN,ennaku oru gastropub restaurant venum.,inform,food,gastropub
BOT,"gastropub food serve pannura centre of town la bar irukura nice restaurant ah and cow pizza kitchen irukanum
",inform,area,centre
HUMAN,address enna,request,slot,addr
BOT,"Sure. cow pizza kitchen um bar um the_cow_pizza_kitchen_and_bar_address la irukku.
",inform,phone,01223 308871
HUMAN,phone number ena,request,slot,phone
BOT,"Cow pizza kitchen and bar oda phone number the_cow_pizza_kitchen_and_bar_phone
",inform,phone,01223 308871
HUMAN,Enaa area ?,request,slot,addr
BOT,"centre of town la cow pizza kitchen apram bar tha nalla place
",inform,area,centre
HUMAN,"Thank you , goodbye.",bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ungalai varaverkiradhu. Neengal thevayana ask ai price range , area , food type basis la thedalanam. Ungaluku enna uthavi vendum ?
",welcomemsg,,
HUMAN,na indha cheap la tuscan food serve panra restaurant ah pakkuren,inform,pricerange,cheap
HUMAN,<SILENCE>,silence,,
BOT,"Sorry. cheap price range la entha restaurant um illai
",canthelp,"pricerange, food","cheap, tuscan"
HUMAN,na indha cheap la italian food serve panra restaurant ah pakkuren,inform,pricerange,cheap
BOT,"Entha area mind la vechirukenga ?
",request,slot,area
HUMAN,ethavthu part of town,inform,area,dontcare
HUMAN,<SILENCE>,silence,,
BOT,"pizza_hut_city_centre centre of town la irukkura italian food serve panra nalla restaurant
",inform,area,centre
