Speaker,Utterance,Intent,Slot_Names,Slot_Values
HUMAN,<SILENCE>,silence,,
BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
HUMAN,i want a moderately priced restaurant in the west part of town,inform,area,west
HUMAN,<SILENCE>,silence,,
BOT,"prezzo is a nice restaurant in the west of town in the moderate price range
",inform,area,west
HUMAN,is there anything else,repeat,,
BOT,"You are looking for a restaurant is that right ?
",confirm-domain,,
HUMAN,give me a different restaurant,inform,this,dontcare
BOT,"prezzo is a nice restaurant in the west of town in the moderate price range
",inform,area,west
HUMAN,goodbye,ack,,
BOT," you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
HUMAN,i want a moderately priced restaurant that serves,inform,area,west
BOT,"What kind of food would you like ?
",request,slot,food
HUMAN,canapes food,inform,food,canapes
BOT,"What part of town do you have in mind ?
",request,slot,area
HUMAN,it doesnt matter,inform,this,dontcare
HUMAN,<SILENCE>,silence,,
BOT,"yippee_noodle_bar is a nice restaurant in the centre of town in the moderate price range
",inform,area,centre
HUMAN,gastropub food,thankyou,,
BOT,"Sorry there is no canapes restaurant in the moderate price range
",canthelp,"pricerange, food","moderate, canapes"
HUMAN,i want a gastropub restaurant,inform,food,gastropub
BOT,"the cow pizza kitchen and bar is a nice restaurant in the centre of town serving gastropub food
",inform,area,centre
HUMAN,what is the address,request,slot,addr
BOT,"Sure , the cow pizza kitchen and bar is on the_cow_pizza_kitchen_and_bar_address
",inform,phone,01223 308871
HUMAN,what is the phone number,request,slot,phone
BOT,"The phone number of the cow pizza kitchen and bar is the_cow_pizza_kitchen_and_bar_phone
",inform,phone,01223 308871
HUMAN,what is the area,request,slot,addr
BOT,"the cow pizza kitchen and bar is a nice place in the centre of town
",inform,area,centre
HUMAN,thank you goodbye,bye,,
BOT," you are welcome
",bye,,
