Speaker,Utterance,Intent,Slot_Names,Slot_Values
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system mein aapka swagat hai . Aap pa sakte hai restaurant by area , price range ya food type . Aap ko kaise help kar sakta hu main ?
",welcomemsg,,
HUMAN,Mujhe moderately priced restaurant town ke west part me chahiye,inform,area,west
HUMAN,<SILENCE>,silence,,
BOT,"prezzo ek acha restaurant hai town ka west mein aur moderate price range mein
",inform,area,west
HUMAN,aur kuch,repeat,,
BOT,"aap restaurant dhund rahe hai na ?
",confirm-domain,,
HUMAN,mujhe koi aur restaurant do,inform,this,dontcare
BOT,"prezzo ek acha restaurant hai town ka west mein aur moderate price range mein
",inform,area,west
HUMAN,goodbye,ack,,
BOT,"Welcome , alvida
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system mein aapka swagat hai . Aap pa sakte hai restaurant by area , price range ya food type . Aap ko kaise help kar sakta hu main ?
",welcomemsg,,
HUMAN,mujhe moderately priced restaurant chahiye jo seve karta hai,inform,area,west
BOT,"Aap kaunse type ka food lene chahege ?
",request,slot,food
HUMAN,canapes food,inform,food,canapes
BOT,"aapke mind me town ka kaun sa part hai ?
",request,slot,area
HUMAN,koye parva nahe,inform,this,dontcare
HUMAN,<SILENCE>,silence,,
BOT,"yippee_noodle_bar ek acha restaurant hai town ka centre mein aur moderate price range mein
",inform,area,centre
HUMAN,gastropub food,thankyou,,
BOT,"Sorry moderate price range me koi canapes restaurant nahi hai
",canthelp,"pricerange, food","moderate, canapes"
HUMAN,mujhe gastropub restaurant chahiye,inform,food,gastropub
BOT,"gastropub food serve karne vale centre of town meh cow pizza kitchen aur bar achaa restaurant hai
",inform,area,centre
HUMAN,address kya hai,request,slot,addr
BOT,"Sure , Cow pizza kitchen and bar the_cow_pizza_kitchen_and_bar_address pe hain .
",inform,phone,01223 308871
HUMAN,Phone number kya hain,request,slot,phone
BOT,"cow pizza kitchen and bar ka phone number the_cow_pizza_kitchen_and_bar_phone hai .
",inform,phone,01223 308871
HUMAN,area kaunsa hain,request,slot,addr
BOT,"centre of town meh cow pizza kitchen aur bar achaa place hai
",inform,area,centre
HUMAN,thank you goodbye,bye,,
BOT,"Welcome , alvida
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system mein aapka swagat hai . Aap pa sakte hai restaurant by area , price range ya food type . Aap ko kaise help kar sakta hu main ?
",welcomemsg,,
HUMAN,Main tuscan food serve karnewala cheap restaurant dhoondh raha hoon .,inform,pricerange,cheap
HUMAN,<SILENCE>,silence,,
BOT,"Sorry , cheap price range mein koi tuscan restaurant nahi hain .
",canthelp,"pricerange, food","cheap, tuscan"
HUMAN,main italian food serve karnewala cheap restaurant dhundh raha hoon .,inform,pricerange,cheap
BOT,"aapke mind me town ka kaun sa part hai ?
",request,slot,area
HUMAN,shahar ka koee bhee hissa,inform,area,dontcare
HUMAN,<SILENCE>,silence,,
BOT,"pizza_hut_city_centre ek achha restaurant hai nagar ke centre bhaag mein jo italian khana serve karta hai
",inform,area,centre
HUMAN,kya please mujhe address aur phone number milega,request,slot,addr
BOT,"Bilkul , pizza_hut_city_centre pizza_hut_city_centre_address par hai
",inform,addr,regent street city centre
