Speaker,Utterance,Intent,Slot_Names,Slot_Values
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ey apnake swagoto janai . Apni restaurants khujte paren food type , price ar area diye . Apnake ki bhabe help korte pari ami ?
",welcomemsg,,
HUMAN,amar ekta moderately priced restaurant chai town er west part ey,inform,area,west
HUMAN,<SILENCE>,silence,,
BOT,"prezzo ekta nice restaurant town er west ey jeta moderate price range ey pore
",inform,area,west
HUMAN,ar onno kichu ache,repeat,,
BOT,"apni ekta restaurant khujchen right ?
",confirm-domain,,
HUMAN,amake onyo restaurant dao,inform,this,dontcare
BOT,"prezzo ekta nice restaurant town er west ey jeta moderate price range ey pore
",inform,area,west
HUMAN,goodbye,ack,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ey apnake swagoto janai . Apni restaurants khujte paren food type , price ar area diye . Apnake ki bhabe help korte pari ami ?
",welcomemsg,,
HUMAN,amar ekta moderately priced restaurant chai jekhane serve kora hoye,inform,area,west
BOT,"Kon type er khabar apni pochondo korben ?
",request,slot,food
HUMAN,canapes khabar,inform,food,canapes
BOT,"town er kon part ey apni chaichen ?
",request,slot,area
HUMAN,kichu jaaye ashe na,inform,this,dontcare
HUMAN,<SILENCE>,silence,,
BOT,"yippee_noodle_bar ekta nice restaurant town er centre ey jeta moderate price range ey pore
",inform,area,centre
HUMAN,gastropub khabar,thankyou,,
BOT,"Sorry , but kono moderate price range ey canapes restaurant nei
",canthelp,"pricerange, food","moderate, canapes"
HUMAN,amar ekta gastropub restaurant chai,inform,food,gastropub
BOT,"town er centre ey cow pizza kitchen and bar ta bhalo restaurant jeta gastropub khabar serve kore
",inform,area,centre
HUMAN,address ta ki,request,slot,addr
BOT,"Sure , the cow pizza kitchen and bar er address holo the_cow_pizza_kitchen_and_bar_address
",inform,phone,01223 308871
HUMAN,phone number ta ki,request,slot,phone
BOT,"cow pizza kitchen and bar er phone number holo the_cow_pizza_kitchen_and_bar_phone
",inform,phone,01223 308871
HUMAN,area ta ki,request,slot,addr
BOT,"town er centre ey cow pizza kitchen and bar ta bhalo jeyga
",inform,area,centre
HUMAN,thank you goodbye,bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ey apnake swagoto janai . Apni restaurants khujte paren food type , price ar area diye . Apnake ki bhabe help korte pari ami ?
",welcomemsg,,
HUMAN,Ami ekta cheap restaurant khujchi jeta tuscan khabar serve kore,inform,pricerange,cheap
HUMAN,<SILENCE>,silence,,
BOT,"Sorry , but kono cheap price range ey tuscan restaurant nei
",canthelp,"pricerange, food","cheap, tuscan"
HUMAN,Ami ekta cheap restaurant khujchi jeta italian khabar serve kore,inform,pricerange,cheap
BOT,"town er kon part ey apni chaichen ?
",request,slot,area
HUMAN,town er jekono part ey,inform,area,dontcare
HUMAN,<SILENCE>,silence,,
BOT,"pizza_hut_city_centre ekta nice restaurant town er centre ey jekhane italian khabar serve hoye
",inform,area,centre
HUMAN,ami ki address ar phone number nite pari please,request,slot,addr
BOT,"Sure , pizza_hut_city_centre er address holo pizza_hut_city_centre_address
",inform,addr,regent street city centre
HUMAN,ar phone number ta please,request,slot,phone
BOT,"pizza_hut_city_centre er phone number holo pizza_hut_city_centre_phone
",inform,phone,01223 323737
HUMAN,thank you goodbye,bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ey apnake swagoto janai . Apni restaurants khujte paren food type , price ar area diye . Apnake ki bhabe help korte pari ami ?
",welcomemsg,,
HUMAN,Ami canapes khabar khujchi jekono proce range e ,inform,pricerange,dontcare
BOT,"Sorry , but kono canapes restaurant nei jeta apnar request er sathe match hochhe .
",canthelp,food,canapes
HUMAN,european kemon hobe,inform,food,european
HUMAN,<SILENCE>,silence,,
BOT,"michaelhouse_cafe ekta khub bhalo restaurant jekhane european khabar serve hoye ar eta expensive price range ey pore
",inform,pricerange,expensive
HUMAN,khabar an,thankyou,,
BOT,"town er kon part ey apni chaichen ?
",request,slot,area
