Speaker,Utterance,Intent,Slot_Names,Slot_Values
HUMAN,<SILENCE>,silence,,
BOT,"Namaskar , padharo Cambridge restaurant system taraf . Tame area , price range athva food type dvara restaurant mate puchi sako chho .
",welcomemsg,,
HUMAN,mhare west part of town ma moderately priced restaurant joye che,inform,area,west
HUMAN,<SILENCE>,silence,,
BOT,"prezzo ek sundar restaurant chhe west of town ma moderate price range ma
",inform,area,west
HUMAN,Biju kasu che tya .,repeat,,
BOT,"Tame restaurant shodhi rahya chho , right ?
",confirm-domain,,
HUMAN,mane judu restaurant aapo .,inform,this,dontcare
BOT,"prezzo ek sundar restaurant chhe west of town ma moderate price range ma
",inform,area,west
HUMAN,goodbye,ack,,
BOT,"tamaru swagat chhe
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Namaskar , padharo Cambridge restaurant system taraf . Tame area , price range athva food type dvara restaurant mate puchi sako chho .
",welcomemsg,,
HUMAN,mare seva apti sadharan price vali restaurant joiye chhe,inform,area,west
BOT,"Tamne kya prakar nu food gamse ?
",request,slot,food
HUMAN,canapes food,inform,food,canapes
BOT,"tamre mind ma kona part of town che ?
",request,slot,area
HUMAN,Te koi babat nathi,inform,this,dontcare
HUMAN,<SILENCE>,silence,,
BOT,"yippee_noodle_bar ek sundar restaurant chhe centre of town ma moderate price range ma
",inform,area,centre
HUMAN,gastropub food,thankyou,,
BOT,"Sorry tyan moderate price range ma canapes restaurant nathi .
",canthelp,"pricerange, food","moderate, canapes"
HUMAN,mare gastropub restaurant joiye chhe,inform,food,gastropub
BOT,"centre part of town ma gastropub food ni seva apti the cow pizza kitchen and bar ek saru restaurant chhe
",inform,area,centre
HUMAN,address su chhe,request,slot,addr
BOT,"sure , the_cow_pizza_kitchen_and_bar_address par the cow pizza kitchen ane bar chhe
",inform,phone,01223 308871
HUMAN,phone number su chhe,request,slot,phone
BOT,"cow pizza kitchen and bar na phone number the_cow_pizza_kitchen_and_bar_phone che .
",inform,phone,01223 308871
HUMAN,area su chhe,request,slot,addr
BOT,"cow pizza kitchen ane bar saras jagya che gaam na centre bhaag ma
",inform,area,centre
HUMAN,thank you goodbye,bye,,
BOT,"tamaru swagat chhe
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Namaskar , padharo Cambridge restaurant system taraf . Tame area , price range athva food type dvara restaurant mate puchi sako chho .
",welcomemsg,,
HUMAN,hu joe rahyo chhu ek cheap restaurant je tuscan food serve kare mate,inform,pricerange,cheap
HUMAN,<SILENCE>,silence,,
BOT,"cheap price range ma tuscan restaurant nathi
",canthelp,"pricerange, food","cheap, tuscan"
HUMAN,hu joe rahyo chhu ek cheap restaurant je italian food serve kare mate,inform,pricerange,cheap
BOT,"tamre mind ma kona part of town che ?
",request,slot,area
HUMAN,koipan bhag town na,inform,area,dontcare
HUMAN,<SILENCE>,silence,,
BOT,"pizza_hut_city_centre ek sundar restaurant centre of town ma je italian food serve kare
",inform,area,centre
HUMAN,mane address ane phone number aapso please,request,slot,addr
BOT,"Sure , pizza_hut_city_centre ich pizza_hut_city_centre_address ma che .
",inform,addr,regent street city centre
HUMAN,ane phone number please,request,slot,phone
BOT,"pizza_hut_city_centre na phone number pizza_hut_city_centre_phone che .
",inform,phone,01223 323737
HUMAN,"Thank you , good bye .",bye,,
BOT,"tamaru swagat chhe
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Namaskar , padharo Cambridge restaurant system taraf . Tame area , price range athva food type dvara restaurant mate puchi sako chho .
",welcomemsg,,
HUMAN,Koi pan price range ma hu canapes food shodhi rahyo chu,inform,pricerange,dontcare
BOT,"sorry , pan tamara request ma koi pan canapes restaurant match nathi thata
",canthelp,food,canapes
HUMAN,european vishe su chhe,inform,food,european
HUMAN,<SILENCE>,silence,,
BOT,"michaelhouse_cafe chhe ek mahan restaurant je european food serve kare ane te chhe expensive price range ma
",inform,pricerange,expensive
HUMAN,food an,thankyou,,
BOT,"tamre mind ma kona part of town che ?
",request,slot,area
HUMAN,koipan koipan town na bhag ma,inform,area,dontcare
BOT,"michaelhouse_cafe serve kare chhe european food
",inform,food,european
HUMAN,mane address ane phone number aapso please,request,slot,addr
BOT,"michaelhouse_cafe na phone number michaelhouse_cafe_phone che .
",inform,phone,01223 309147
HUMAN,"Thank you , good bye .",bye,,
BOT,"tamaru swagat chhe
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Namaskar , padharo Cambridge restaurant system taraf . Tame area , price range athva food type dvara restaurant mate puchi sako chho .
",welcomemsg,,
HUMAN,Hu sodhu chu ek,inform,this,dontcare
BOT,"tamre mind ma kona part of town che ?
",request,slot,area
HUMAN,derately price,inform,pricerange,moderate
BOT,"Tamne kya prakar nu food gamse ?
",request,slot,food
HUMAN,koipan north part of town ma,inform,this,dontcare
HUMAN,<SILENCE>,silence,,
BOT,"the_nirala ek sundar restaurant north of town ma je indian food serve kare
",inform,area,north
HUMAN,Swas lo price range,request,slot,postcode
BOT,"the_nirala chhe moderate price range ma
",inform,pricerange,moderate
HUMAN,Swas lo msu mari pase phone number chhe please,request,slot,phone
BOT,"the_nirala na phone number the_nirala_phone che .
",inform,phone,01223 360966
HUMAN,swas lo tamaro aabhar aavjo,bye,,
BOT,"tamaru swagat chhe
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Namaskar , padharo Cambridge restaurant system taraf . Tame area , price range athva food type dvara restaurant mate puchi sako chho .
",welcomemsg,,
HUMAN,north part of town turkish food,inform,area,north
HUMAN,<SILENCE>,silence,,
BOT,"Sorry ahi town ma turkish restaurant nathi .
",canthelp,"area, food","north, turkish"
HUMAN,asian_oriental vishe su chhe,inform,food,asian oriental
BOT,"saigon_city ek sundar restaurant north of town ma je asian_oriental food serve kare
",inform,area,north
HUMAN,mane address ane phone number aapso please,request,slot,addr
BOT,"Sure , saigon_city ich saigon_city_address ma che .
",inform,phone,01223 356555
HUMAN,ane phone number please,request,slot,phone
BOT,"saigon_city na phone number saigon_city_phone che .
",inform,phone,01223 356555
HUMAN,"Thank you , good bye .",bye,,
BOT,"tamaru swagat chhe
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Namaskar , padharo Cambridge restaurant system taraf . Tame area , price range athva food type dvara restaurant mate puchi sako chho .
",welcomemsg,,
HUMAN,cheap restaurant,inform,pricerange,cheap
BOT,"tamre mind ma kona part of town che ?
",request,slot,area
HUMAN,Vachhchhe,affirm,,
BOT,"Tamne kya prakar nu food gamse ?
",request,slot,food
HUMAN,<SILENCE>,silence,,
BOT,"Tame restaurant shodhi rahya chho , right ?
",confirm-domain,,
HUMAN,vietnamese food,inform,food,vietnamese
HUMAN,<SILENCE>,silence,,
BOT,"the_missing_sock ek sundar restaurant chhe east of town ma cheap price range ma
",inform,area,east
HUMAN,food,thankyou,,
BOT,"Hu tamne biji koi madad kari saku ?
",reqmore,,
HUMAN,vietnamese food,inform,food,vietnamese
BOT,"Sorry vietnamese food parosati east of town ma koi cheap restaurant nathi
",canthelp,"area, pricerange, food","east, cheap, vietnamese"
HUMAN,north,inform,area,north
HUMAN,<SILENCE>,silence,,
BOT,"Sorry vietnamese food parosati north of town ma koi cheap restaurant nathi
",canthelp,"area, pricerange, food","north, cheap, vietnamese"
HUMAN,Vachhchhe,affirm,,
HUMAN,<SILENCE>,silence,,
BOT,"Sorry vietnamese food parosati centre of town ma koi cheap restaurant nathi
",canthelp,"area, pricerange, food","centre, cheap, vietnamese"
HUMAN,east,affirm,,
HUMAN,<SILENCE>,silence,,
BOT,"Sorry vietnamese food parosati east of town ma koi cheap restaurant nathi
",canthelp,"area, pricerange, food","east, cheap, vietnamese"
HUMAN,north east,inform,area,north
HUMAN,<SILENCE>,silence,,
BOT,"Sorry vietnamese food parosati north of town ma koi cheap restaurant nathi
",canthelp,"area, pricerange, food","north, cheap, vietnamese"
HUMAN,Vachhchhe,affirm,,
HUMAN,<SILENCE>,silence,,
BOT,"Sorry vietnamese food parosati centre of town ma koi cheap restaurant nathi
",canthelp,"area, pricerange, food","centre, cheap, vietnamese"
HUMAN,moderate,reqalts,,
HUMAN,<SILENCE>,silence,,
BOT,"Sorry vietnamese food parosati centre of town ma koi moderate restaurant nathi
",canthelp,"area, pricerange, food","centre, moderate, vietnamese"
HUMAN,north,inform,area,north
HUMAN,<SILENCE>,silence,,
BOT,"Sorry vietnamese food parosati north of town ma koi moderate restaurant nathi
",canthelp,"area, pricerange, food","north, moderate, vietnamese"
HUMAN,east,affirm,,
HUMAN,<SILENCE>,silence,,
BOT,"Sorry vietnamese food parosati east of town ma koi moderate restaurant nathi
",canthelp,"area, pricerange, food","east, moderate, vietnamese"
HUMAN,thank you goodbye,bye,,
BOT,"tamaru swagat chhe
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Namaskar , padharo Cambridge restaurant system taraf . Tame area , price range athva food type dvara restaurant mate puchi sako chho .
",welcomemsg,,
HUMAN,restaurant koi pan area ma je kosher food,inform,area,dontcare
BOT,"Tamne kya prakar nu food gamse ?
",request,slot,food
HUMAN,kosher,inform,food,kosher
HUMAN,<SILENCE>,silence,,
BOT,"cote ek sundar restaurant centre of town ma je french food serve kare
",inform,area,centre
HUMAN,food na parakar,request,slot,area
BOT,"cote ek mahan restaurant chhe
",offer,name,cote
HUMAN,phone number,ack,,
BOT,"cote na phone number cote_phone che .
",inform,phone,01223 311053
HUMAN,"Thank you , good bye .",bye,,
BOT,"tamaru swagat chhe
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Namaskar , padharo Cambridge restaurant system taraf . Tame area , price range athva food type dvara restaurant mate puchi sako chho .
",welcomemsg,,
HUMAN,creative food,inform,food,creative
BOT,"Hu dilgir chhu pan tyan tamara request na match nu creative restaurant nathi .
",canthelp,food,creative
HUMAN,modern_european,inform,food,modern european
BOT,"Su tame cheap , moderate , ke expensive price range mathi kai pasand karso ?
",request,slot,pricerange
HUMAN,moderate,reqalts,,
HUMAN,<SILENCE>,silence,,
BOT,"riverside_brasserie chhe ek mahan restaurant je modern_european food serve kare ane te moderate price range ma hoy
",inform,pricerange,moderate
HUMAN,Address,ack,,
HUMAN,<SILENCE>,silence,,
BOT,"Sure , riverside_brasserie ich riverside_brasserie_address ma che .
",inform,phone,01223 259988
HUMAN,<SILENCE>,silence,,
BOT,"riverside_brasserie chhe ek mahan restaurant je modern_european food serve kare ane te moderate price range ma hoy
",inform,pricerange,moderate
HUMAN,Address,ack,,
BOT,"Sure , riverside_brasserie ich riverside_brasserie_address ma che .
",inform,phone,01223 259988
HUMAN,phone number,ack,,
BOT,"riverside_brasserie na phone number riverside_brasserie_phone che .
",inform,phone,01223 259988
HUMAN,"Thank you , good bye .",bye,,
BOT,"tamaru swagat chhe
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Namaskar , padharo Cambridge restaurant system taraf . Tame area , price range athva food type dvara restaurant mate puchi sako chho .
",welcomemsg,,
HUMAN,north part of town ma cheap restaurant,inform,area,north
HUMAN,<SILENCE>,silence,,
BOT,"da_vinci_pizzeria ek sundar restaurant chhe north of town ma cheap price range ma
",inform,area,north
HUMAN,address su chhe,request,slot,addr
BOT,"Sure , da_vinci_pizzeria ich da_vinci_pizzeria_address ma che .
",inform,phone,01223 351707
HUMAN,"Thank you , good bye .",bye,,
BOT,"tamaru swagat chhe
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Namaskar , padharo Cambridge restaurant system taraf . Tame area , price range athva food type dvara restaurant mate puchi sako chho .
",welcomemsg,,
HUMAN,south part of town ma cheap restaurant,inform,pricerange,cheap
HUMAN,<SILENCE>,silence,,
BOT,"the_lucky_star ek sundar restaurant chhe south of town ma cheap price range ma
",inform,area,south
HUMAN,koipan bija,affirm,,
BOT,"nandos ek sundar restaurant chhe south of town ma cheap price range ma
",inform,area,south
HUMAN,address su chhe,request,slot,addr
HUMAN,"Sure , nandos ich nandos_address ma che .
",request,slot,phone
HUMAN,kaya type no khavanu che ae,request,slot,area
BOT,"nandos serve kare chhe portuguese food
",inform,food,portuguese
HUMAN,"Thank you , good bye .",bye,,
BOT,"tamaru swagat chhe
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Namaskar , padharo Cambridge restaurant system taraf . Tame area , price range athva food type dvara restaurant mate puchi sako chho .
",welcomemsg,,
HUMAN,caribbean food,inform,food,caribbean
BOT,"sorry , pan tamara request ma koi pan caribbean restaurant match nathi thata
",canthelp,food,caribbean
HUMAN,british food,inform,food,british
BOT,"tamre mind ma kona part of town che ?
",request,slot,area
HUMAN,mane kae farak nathi padto,inform,this,dontcare
BOT,"Su tame cheap , moderate , ke expensive price range mathi kai pasand karso ?
",request,slot,pricerange
HUMAN,moderate,reqalts,,
HUMAN,<SILENCE>,silence,,
BOT,"saint_johns_chop_house ek sundar restaurant west of town ma je british food serve kare
",inform,area,west
HUMAN,phone number su chhe,request,slot,phone
BOT,"saint_johns_chop_house na phone number saint_johns_chop_house_phone che .
",inform,phone,01223 353110
HUMAN,"Thank you , good bye .",bye,,
BOT,"tamaru swagat chhe
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Namaskar , padharo Cambridge restaurant system taraf . Tame area , price range athva food type dvara restaurant mate puchi sako chho .
",welcomemsg,,
HUMAN,international food,inform,food,international
BOT,"Tamne kya prakar nu food gamse ?
",request,slot,food
HUMAN,international,inform,food,international
HUMAN,<SILENCE>,silence,,
BOT,"the_missing_sock serve kare chhe international food
",inform,food,international
HUMAN,phone number su chhe,request,slot,phone
BOT,"the_missing_sock na phone number the_missing_sock_phone che .
",inform,phone,01223 812660
HUMAN,post code su chhe,request,slot,postcode
BOT,"the_missing_sock na post code chhe the_missing_sock_post_code
",inform,phone,01223 812660
HUMAN,abhar good bye,bye,,
BOT,"tamaru swagat chhe
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Namaskar , padharo Cambridge restaurant system taraf . Tame area , price range athva food type dvara restaurant mate puchi sako chho .
",welcomemsg,,
HUMAN,cheap restaurant indian food sevan kare che .,inform,pricerange,cheap
HUMAN,<SILENCE>,silence,,
BOT,"the_gandhi chhe ek mahan restaurant je indian food serve kare ane te chhe cheap price range ma
",inform,pricerange,cheap
HUMAN,address su chhe,request,slot,addr
HUMAN,"Sure , the_gandhi ich the_gandhi_address ma che .
",request,slot,addr
HUMAN,phone number su chhe,request,slot,phone
BOT,"the_gandhi na phone number the_gandhi_phone che .
",inform,phone,01223 353942
HUMAN,su che,request,slot,phone
BOT,"kohinoor chhe ek mahan restaurant je indian food serve kare ane te chhe cheap price range ma
",inform,pricerange,cheap
HUMAN,te kaya area ma chhe,inform,area,north
BOT,"kohinoor chhe ek sundar place centre part of town ma
",inform,area,centre
HUMAN,"Thank you , good bye .",bye,,
BOT,"tamaru swagat chhe
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Namaskar , padharo Cambridge restaurant system taraf . Tame area , price range athva food type dvara restaurant mate puchi sako chho .
",welcomemsg,,
HUMAN,tuscan food,inform,food,tuscan
BOT,"Su tame cheap , moderate , ke expensive price range mathi kai pasand karso ?
",request,slot,pricerange
HUMAN,moderate,reqalts,,
BOT,"tamre mind ma kona part of town che ?
",request,slot,area
HUMAN,west,inform,area,west
HUMAN,<SILENCE>,silence,,
BOT,"riverside_brasserie par price range moderate chhe .
",inform,pricerange,moderate
HUMAN,Shu hu phone number lai saku chu .,request,slot,phone
BOT,"riverside_brasserie na phone number riverside_brasserie_phone che .
",inform,phone,01223 259988
HUMAN,<SILENCE>,silence,,
BOT,"ask par price range cheap chhe .
",inform,pricerange,cheap
HUMAN,phone number,ack,,
BOT,"ask na phone number ask_phone che .
",inform,phone,01223 364917
HUMAN,"Thank you , good bye .",bye,,
BOT,"tamaru swagat chhe
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Namaskar , padharo Cambridge restaurant system taraf . Tame area , price range athva food type dvara restaurant mate puchi sako chho .
",welcomemsg,,
HUMAN,Central ma kosher maate,inform,area,centre
HUMAN,<SILENCE>,silence,,
BOT,"Sorry , centre of town ma koi kosher restaurant nathi
",canthelp,"area, food","centre, kosher"
HUMAN,korean food,inform,food,korean
HUMAN,<SILENCE>,silence,,
BOT,"little_seoul ek sundar restaurant centre of town ma je korean food serve kare
",inform,area,centre
HUMAN,Address,ack,,
BOT,"Sure , little_seoul ich little_seoul_address ma che .
",inform,phone,01223 308681
HUMAN,phone number,ack,,
BOT,"little_seoul na phone number little_seoul_phone che .
",inform,phone,01223 308681
HUMAN,"Thank you , good bye .",bye,,
BOT,"tamaru swagat chhe
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Namaskar , padharo Cambridge restaurant system taraf . Tame area , price range athva food type dvara restaurant mate puchi sako chho .
",welcomemsg,,
HUMAN,north part of town,inform,this,dontcare
