,0,1,2,3,4
0,Speaker,Utterance,Intent,Slot_Names,Slot_Values
1,HUMAN,<SILENCE>,silence,,
2,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
3,HUMAN,i want a moderately priced restaurant in the west part of town,inform,area,west
4,HUMAN,<SILENCE>,silence,,
5,BOT,"prezzo is a nice restaurant in the west of town in the moderate price range
",inform,area,west
6,HUMAN,is there anything else,repeat,,
7,BOT,"You are looking for a restaurant is that right ?
",confirm-domain,,
8,HUMAN,give me a different restaurant,inform,this,dontcare
9,BOT,"prezzo is a nice restaurant in the west of town in the moderate price range
",inform,area,west
10,HUMAN,goodbye,ack,,
11,BOT," you are welcome
",bye,,
12,HUMAN,<SILENCE>,silence,,
13,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
14,HUMAN,i want a moderately priced restaurant that serves,inform,area,west
15,BOT,"What kind of food would you like ?
",request,slot,food
16,HUMAN,canapes food,inform,food,canapes
17,BOT,"What part of town do you have in mind ?
",request,slot,area
18,HUMAN,it doesnt matter,inform,this,dontcare
19,HUMAN,<SILENCE>,silence,,
20,BOT,"yippee_noodle_bar is a nice restaurant in the centre of town in the moderate price range
",inform,area,centre
21,HUMAN,gastropub food,thankyou,,
22,BOT,"Sorry there is no canapes restaurant in the moderate price range
",canthelp,"pricerange, food","moderate, canapes"
23,HUMAN,i want a gastropub restaurant,inform,food,gastropub
24,BOT,"the cow pizza kitchen and bar is a nice restaurant in the centre of town serving gastropub food
",inform,area,centre
25,HUMAN,what is the address,request,slot,addr
26,BOT,"Sure , the cow pizza kitchen and bar is on the_cow_pizza_kitchen_and_bar_address
",inform,phone,01223 308871
27,HUMAN,what is the phone number,request,slot,phone
28,BOT,"The phone number of the cow pizza kitchen and bar is the_cow_pizza_kitchen_and_bar_phone
",inform,phone,01223 308871
29,HUMAN,what is the area,request,slot,addr
30,BOT,"the cow pizza kitchen and bar is a nice place in the centre of town
",inform,area,centre
31,HUMAN,thank you goodbye,bye,,
32,BOT," you are welcome
",bye,,
33,HUMAN,<SILENCE>,silence,,
34,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
35,HUMAN,im looking for a cheap restaurant that serves tuscan food,inform,pricerange,cheap
36,HUMAN,<SILENCE>,silence,,
37,BOT,"Sorry there is no tuscan restaurant in the cheap price range
",canthelp,"pricerange, food","cheap, tuscan"
38,HUMAN,im looking for a cheap restaurant that serves italian food,inform,pricerange,cheap
39,BOT,"What part of town do you have in mind ?
",request,slot,area
40,HUMAN,any part of town,inform,area,dontcare
41,HUMAN,<SILENCE>,silence,,
42,BOT,"pizza_hut_city_centre is a nice restaurant in the centre of town serving italian food
",inform,area,centre
43,HUMAN,may i have the address and phone number please,request,slot,addr
44,BOT,"Sure , pizza_hut_city_centre is on pizza_hut_city_centre_address
",inform,addr,regent street city centre
45,HUMAN,and the phone number please,request,slot,phone
46,BOT,"The phone number of pizza_hut_city_centre is pizza_hut_city_centre_phone
",inform,phone,01223 323737
47,HUMAN,thank you good bye,bye,,
48,BOT," you are welcome
",bye,,
49,HUMAN,<SILENCE>,silence,,
50,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
51,HUMAN,im looking for canapes food in any price range,inform,pricerange,dontcare
52,BOT,"I am sorry but there is no canapes restaurant that matches your request
",canthelp,food,canapes
53,HUMAN,how about european,inform,food,european
54,HUMAN,<SILENCE>,silence,,
55,BOT,"michaelhouse_cafe is a great restaurant serving european food and it is in the expensive price range
",inform,pricerange,expensive
56,HUMAN,food an,thankyou,,
57,BOT,"What part of town do you have in mind ?
",request,slot,area
58,HUMAN,any any part of town,inform,area,dontcare
59,BOT,"michaelhouse_cafe serves european food .
",inform,food,european
60,HUMAN,may i have the address and phone number please,request,slot,addr
61,BOT,"The phone number of michaelhouse_cafe is michaelhouse_cafe_phone
",inform,phone,01223 309147
62,HUMAN,thank you good bye,bye,,
63,BOT," you are welcome
",bye,,
64,HUMAN,<SILENCE>,silence,,
65,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
66,HUMAN,im looking for a,inform,this,dontcare
67,BOT,"What part of town do you have in mind ?
",request,slot,area
68,HUMAN,derately priced,inform,pricerange,moderate
69,BOT,"What kind of food would you like ?
",request,slot,food
70,HUMAN,any kind in the north part of town,inform,this,dontcare
71,HUMAN,<SILENCE>,silence,,
72,BOT,"the_nirala is a nice restaurant in the north of town serving indian food
",inform,area,north
73,HUMAN,breath price range,request,slot,postcode
74,BOT,"the_nirala is in the moderate price range
",inform,pricerange,moderate
75,HUMAN,breath may i have the phone number please,request,slot,phone
76,BOT,"The phone number of the_nirala is the_nirala_phone
",inform,phone,01223 360966
77,HUMAN,breath thank you goodbye,bye,,
78,BOT," you are welcome
",bye,,
79,HUMAN,<SILENCE>,silence,,
80,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
81,HUMAN,north part of town turkish food,inform,area,north
82,HUMAN,<SILENCE>,silence,,
83,BOT,"Sorry there is no turkish restaurant in the north of town
",canthelp,"area, food","north, turkish"
84,HUMAN,how about asian_oriental,inform,food,asian oriental
85,BOT,"saigon_city is a nice restaurant in the north of town serving asian_oriental food
",inform,area,north
86,HUMAN,may i have the address and phone number please,request,slot,addr
87,BOT,"Sure , saigon_city is on saigon_city_address
",inform,phone,01223 356555
88,HUMAN,and the phone number please,request,slot,phone
89,BOT,"The phone number of saigon_city is saigon_city_phone
",inform,phone,01223 356555
90,HUMAN,thank you good bye,bye,,
91,BOT," you are welcome
",bye,,
92,HUMAN,<SILENCE>,silence,,
93,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
94,HUMAN,cheap restaurant,inform,pricerange,cheap
95,BOT,"What part of town do you have in mind ?
",request,slot,area
96,HUMAN,center,affirm,,
97,BOT,"What kind of food would you like ?
",request,slot,food
98,HUMAN,<SILENCE>,silence,,
99,BOT,"You are looking for a restaurant is that right ?
",confirm-domain,,
100,HUMAN,vietnamese food,inform,food,vietnamese
101,HUMAN,<SILENCE>,silence,,
102,BOT,"the_missing_sock is a nice restaurant in the east of town in the cheap price range
",inform,area,east
103,HUMAN,food,thankyou,,
104,BOT,"Can I help you with anything else ?
",reqmore,,
105,HUMAN,vietnamese food,inform,food,vietnamese
106,BOT,"Sorry there is no cheap restaurant in the east of town serving vietnamese food
",canthelp,"area, pricerange, food","east, cheap, vietnamese"
107,HUMAN,north,inform,area,north
108,HUMAN,<SILENCE>,silence,,
109,BOT,"Sorry there is no cheap restaurant in the north of town serving vietnamese food
",canthelp,"area, pricerange, food","north, cheap, vietnamese"
110,HUMAN,center,affirm,,
111,HUMAN,<SILENCE>,silence,,
112,BOT,"Sorry there is no cheap restaurant in the centre of town serving vietnamese food
",canthelp,"area, pricerange, food","centre, cheap, vietnamese"
113,HUMAN,east,affirm,,
114,HUMAN,<SILENCE>,silence,,
115,BOT,"Sorry there is no cheap restaurant in the east of town serving vietnamese food
",canthelp,"area, pricerange, food","east, cheap, vietnamese"
116,HUMAN,north east,inform,area,north
117,HUMAN,<SILENCE>,silence,,
118,BOT,"Sorry there is no cheap restaurant in the north of town serving vietnamese food
",canthelp,"area, pricerange, food","north, cheap, vietnamese"
