,0,1,2,3,4
0,Speaker,Utterance,Intent,Slot_Names,Slot_Values
1,HUMAN,<SILENCE>,silence,,
2,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
3,HUMAN,<SILENCE>,silence,,
4,BOT,"What kind of food would you like ?
",request,slot,food
5,HUMAN,persian restaurant in the north part of town,inform,area,north
6,BOT,"I'm sorry but there is no restaurant serving persian food
",canthelp,food,persian
7,HUMAN,chinese food,reqalts,,
8,BOT,"Could you please repeat that ?
",repeat,,
9,HUMAN,chinese food,reqalts,,
10,BOT,"Did you say you are looking for a restaurant in the north of town ?
",expl-conf,area,north
11,HUMAN,yes,request,slot,addr
12,BOT,"There are restaurants serving chinese in the north of town . What price range would you like ?
",impl-conf,area,north
13,HUMAN,any,inform,food,dontcare
14,HUMAN,<SILENCE>,silence,,
15,BOT,"the_hotpot is a nice place in the north of town serving tasty chinese food
",inform,area,north
16,HUMAN,<SILENCE>,silence,,
17,BOT,"golden_wok is a nice place in the north of town serving tasty chinese food
",inform,area,north
18,HUMAN,phone number,ack,,
19,BOT,"golden_wok is a great restaurant
",offer,name,golden wok
20,HUMAN,phone number,ack,,
21,BOT,"The phone number of golden_wok is golden_wok_phone
",inform,phone,01223 350688
22,HUMAN,thank you good bye,bye,,
23,BOT," you are welcome
",bye,,
24,HUMAN,<SILENCE>,silence,,
25,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
26,HUMAN,cheap restaurant in th east part of town,inform,area,east
27,HUMAN,<SILENCE>,silence,,
28,BOT,"the_missing_sock is a nice place in the east of town and the prices are cheap
",inform,area,east
29,HUMAN,address,ack,,
30,BOT,"Sure , the_missing_sock is on the_missing_sock_address
",inform,phone,01223 812660
31,HUMAN,phone number,ack,,
32,BOT,"The phone number of the_missing_sock is the_missing_sock_phone
",inform,phone,01223 812660
33,HUMAN,thank you good bye,bye,,
34,BOT," you are welcome
",bye,,
35,HUMAN,<SILENCE>,silence,,
36,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
37,HUMAN,expensive australian restaurant,inform,pricerange,expensive
38,BOT,"You are looking for a australian restaurant right ?
",expl-conf,food,australian
39,HUMAN,yes,request,slot,addr
40,BOT,"I'm sorry but there is no restaurant serving australian food
",canthelp,food,australian
41,HUMAN,expensive french restaurant,inform,area,south
42,BOT,"You are looking for a australian restaurant right ?
",expl-conf,food,australian
43,HUMAN,french,inform,food,french
44,BOT,"There are restaurants serving french in the expensive price range . What area would you like ?
",impl-conf,pricerange,expensive
45,HUMAN,any,inform,food,dontcare
46,HUMAN,<SILENCE>,silence,,
47,BOT,"cote serves french food in the expensive price range
",inform,pricerange,expensive
48,HUMAN,phone number,ack,,
49,BOT,"cote is a great restaurant
",offer,name,cote
50,HUMAN,phone number,ack,,
51,BOT,"The phone number of cote is cote_phone
",inform,phone,01223 311053
52,HUMAN,thank you good bye,bye,,
53,BOT," you are welcome
",bye,,
54,HUMAN,<SILENCE>,silence,,
55,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
56,HUMAN,<SILENCE>,silence,,
57,BOT,"What kind of food would you like ?
",request,slot,food
58,HUMAN,i dont care in the north part of town,inform,area,north
59,BOT,"There are restaurants in the north of town serving any kind of food . What price range would you like ?
",impl-conf,area,north
60,HUMAN,cheap,inform,pricerange,cheap
61,HUMAN,<SILENCE>,silence,,
62,BOT,"royal_spice is a nice place in the north of town and the prices are cheap
",inform,area,north
63,HUMAN,can i have the phone number and address,request,slot,phone
64,BOT,"The phone number of royal_spice is royal_spice_phone
",inform,phone,01733 553355
65,HUMAN,can i have the address,request,slot,addr
66,BOT,"Sure , royal_spice is on royal_spice_address
",inform,phone,01733 553355
67,HUMAN,thank you good bye,bye,,
68,BOT," you are welcome
",bye,,
69,HUMAN,<SILENCE>,silence,,
70,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
71,HUMAN,im looking for a cheap restaurant in the south part of town,inform,pricerange,cheap
72,BOT,"There are restaurants in the cheap price range and the south of town . What type of food would you like ?
",impl-conf,area,south
73,HUMAN,i dont care,inform,this,dontcare
74,HUMAN,<SILENCE>,silence,,
75,BOT,"nandos is a nice place in the south of town and the prices are cheap
",inform,area,south
76,HUMAN,<SILENCE>,silence,,
77,BOT,"the_lucky_star is a nice place in the south of town and the prices are cheap
",inform,area,south
78,HUMAN,what else is there,request,slot,phone
79,BOT,"the_lucky_star is a great restaurant
",offer,name,the lucky star
80,HUMAN,anything else,affirm,,
81,BOT,"The post code of the_lucky_star is the_lucky_star_post_code
",inform,phone,01223 244277
82,HUMAN,is there anything else,repeat,,
83,BOT,"Sorry but there is no other restaurant in the cheap price range and the south of town
",canthelp.exception,name,the lucky star
84,HUMAN,can i have the phone number,request,slot,phone
85,BOT,"The phone number of the_lucky_star is the_lucky_star_phone
",inform,phone,01223 244277
86,HUMAN,what type of food is it,request,slot,area
87,BOT," you are welcome
",bye,,
88,HUMAN,<SILENCE>,silence,,
89,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
90,HUMAN,north part of town fast food,inform,area,dontcare
91,BOT,"I'm sorry but there is no restaurant serving basque food
",canthelp,food,basque
92,HUMAN,asian_oriental food,inform,food,asian oriental
93,BOT,"There are restaurants serving asian_oriental food . What area do you want ?
",impl-conf,food,asian oriental
94,HUMAN,any,inform,food,dontcare
95,BOT,"Ok , a restaurant in any part of town is that right ?
",expl-conf,area,dontcare
96,HUMAN,no north,inform,area,north
97,BOT,"Would you like something in the cheap , moderate , or expensive price range ?
",request,slot,pricerange
98,HUMAN,any,inform,food,dontcare
99,HUMAN,<SILENCE>,silence,,
100,BOT,"dojo_noodle_bar serves asian_oriental food
",inform,food,asian oriental
101,HUMAN,address phone number,ack,,
102,BOT,"The phone number of dojo_noodle_bar is dojo_noodle_bar_phone
",inform,phone,01223 363471
103,HUMAN,thank you good bye,bye,,
104,BOT," you are welcome
",bye,,
105,HUMAN,<SILENCE>,silence,,
106,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
107,HUMAN,what about indian food,reqalts,,
108,BOT,"I'm sorry but there is no restaurant serving belgian food
",canthelp,food,belgian
109,HUMAN,what about indian food,reqalts,,
110,BOT,"Could you please repeat that ?
",repeat,,
111,HUMAN,indian food,inform,food,indian
112,HUMAN,<SILENCE>,silence,,
113,BOT,"taj_tandoori is a nice place in the south of town serving tasty indian food
",inform,area,south
114,HUMAN,whats the phone number,request,slot,phone
115,BOT,"The phone number of taj_tandoori is taj_tandoori_phone
",inform,phone,01223 412299
116,HUMAN,thank you good bye,bye,,
117,BOT," you are welcome
",bye,,
118,HUMAN,<SILENCE>,silence,,
119,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
120,HUMAN,<SILENCE>,silence,,
121,BOT,"What kind of food would you like ?
",request,slot,food
122,HUMAN,hello,thankyou,,
123,BOT,"I'm sorry but there is no restaurant serving halal food
",canthelp,food,halal
124,HUMAN,how bout european,inform,food,european
125,BOT,"Could you please repeat that ?
",repeat,,
126,HUMAN,european,inform,food,european
127,BOT,"There are restaurants serving european food . What area do you want ?
",impl-conf,food,european
