ID	Value
msd1	वजीर\N_NN के\PSP लड़कवा\N_NN कहलकै\V_VM कि\CC_CCS हाँ\RP_RPD इयार\N_NN ,\RD_PUNC दूसतो\V_VM जरूर\N_NN ।\RD_PUNC
msd10	जाइते\V_VM के\PSP साथ\N_NST रानी\N_NN कहलकई\V_VM कि\CC_CCS उठऽ\V_VM इयार\N_NN ,\RD_PUNC खाना\N_NN खा\V_VM लऽ\V_VAUX ,\RD_PUNC तो\PR_PRL दैत्य\N_NN उठके\V_VM खाना\N_NN खाय\V_VM लागलई\V_VM आउ\CC_CCD पुछलकै\V_VM कि\CC_CCS आज\N_NN तो\PR_PRL बड़ी\RP_INTF देर\N_NN होलो\V_VM ।\RD_PUNC
msd100	सब\QT_QTF ईतजाम\N_NN भे\V_VM गेल\V_VAUX ।\RD_PUNC
msd1000	लालपरी\N_NN एगो\QT_QTC चिट्ठी\N_NN लेके\V_VM जाइत\V_VM_VNF -\RD_PUNC जाइत\V_VM_VNF जा\V_VM पहुँचल\V_VAUX जहवाँ\DM_DMR लालपरी\N_NN के\PSP बहिन\N_NN रहऽ\V_VM हल\V_VAUX ।\RD_PUNC 
msd101	लालपरी\N_NN मृतभुवन\N_NN मे\PSP आयल\V_VM आउ\CC_CCD वजीर\N_NN के\PSP लइका\N_NN के\PSP नीचे\N_NST मुड़ी\N_NN आओ\CC_CCD उपरे\N_NN चुतड़\N_NN कयले\V_VM देखके\V_VAUX एक\QT_QTC लाती\N_NN मारलक\V_VM ।\RD_PUNC
msd102	वजीर\N_NN लोघड़ा\V_VM के\PSP उठल\V_VM तो\PR_PRL लालपरी\N_NN ओकरा\PR_PRP से\PSP पूछलक\V_VM कि\CC_CCS तू\PR_PRP कौन\PR_PRI हें\N_NN ।\RD_PUNC
msd103	आउ\CC_CCD का\PR_PRQ करऽ\V_VM हें\V_VAUX ।\RD_PUNC
msd104	वजीर\N_NN कहकई\V_VM कि\CC_CCS हम\PR_PRP राजा\N_NN के\PSP नोकर\N_NN ही\V_VM ।\RD_PUNC
msd105	इहां\DM_DMD बाँसुवा\N_NN के\PSP नाच\N_NN हो\V_VM हे\V_VAUX ।\RD_PUNC
msd106	ओकरे\PR_PRP अगोरी\V_VM करऽ\V_VAUX हियो\V_VAUX ।\RD_PUNC
msd107	लालपरी\N_NN भी\RP_RPD बांसुवा\N_NN के\PSP नाच\N_NN देखे\V_VM ला\PSP पूछलक\V_VM ।\RD_PUNC
msd108	वजीर\N_NN कहलक\V_VM कि\CC_CCS अब\RB आगे\JJ साल\N_NN बसाख\N_NN पुनिया\N_NN के\PSP नाच\N_NN होता\V_VM ।\RD_PUNC
msd109	ई\DM_DMI साल\N_NN तो\PR_PRL खतम\N_NN हो\V_VM गेलो\V_VAUX ।\RD_PUNC
msd11	की\PR_PRQ करऽ\V_VM हला\V_VAUX ।\RD_PUNC
msd110	लालपरी\N_NN नाच\N_NN देखे\V_VM के\V_VAUX लोभ\N_NN से\PSP बिसुन\N_NNP भागवान\N_NN से\PSP फिनो\CC_CCD एक\QT_QTC बरिस\N_NN के\PSP टैम\N_NN मागँलक\N_NN ।\RD_PUNC
msd111	एने\DM_DMD वजीर\N_NN के\PSP लड़का\N_NN के\PSP चिंता\N_NN भे\V_VM गेल\V_VAUX कि\CC_CCS बांसुवा\N_NN के\PSP नाच\N_NN काहां\DM_DMQ से\PSP लावल\V_VM जाय\V_VAUX ।\RD_PUNC
msd112	एही\DM_DMR मन\N_NN में\PSP सोच\V_VM के\V_VAUX ऊ\PR_PRP राजा\N_NN के\PSP कह\V_VM के\V_VAUX चलल\V_VM ।\RD_PUNC
msd113	जाइत-जाइत\V_VM कहाकोप\N_NN के\PSP जंगल\N_NN में\PSP पहुच\V_VM गेल\V_VAUX ।\RD_PUNC
msd114	उहां\DM_DMD एगो\QT_QTC पेड़\N_NN के\PSP नीचे\N_NST ठहर\V_VM गेल\V_VAUX ।\RD_PUNC
msd115	ऊ\DM_DMD पेड़\N_NN पर\PSP एगो\QT_QTC चिड़िया\N_NN रहऽ\V_VM हलै\V_VAUX जे\PR_PRL रोज\N_NN एगो\QT_QTC ।\RD_PUNC
msd116	अंडाऽ\N_NN दे\V_VM हलई\V_VAUX बाकि\CC_CCD अंडवा\N_NN के\PSP एगो\QT_QTC सांप\N_NN खा\V_VM जा\V_VAUX हलै\V_VAUX ।\RD_PUNC
msd117	आजो\N_NN अजगरवा\N_NN पेड़\N_NN तर\PSP पहुंचलै\V_VM तो\PR_PRL वजीर\N_NN के\PSP लड़का\N_NN झट\N_NN से\PSP तलवार\N_NN निकाल\V_VM के\V_VAUX ओकरा\PR_PRP तीन--चार\QT_QTC खुंडी\N_NN कर\V_VM देलकै\V_VAUX ।\RD_PUNC
msd118	सुबह\N_NN के\PSP खुस\JJ हो\V_VM के\V_VAUX चिरिवा\N_NNP अपन\PR_PRP बचवा\N_NN के\PSP खिलावे\V_VM लगलै\V_VAUX तो\PR_PRL नञु\RP_NEG खलकै\V_VM आउ\CC_CCD कहकई\V_VM के\V_VAUX पहिले\N_NN नीचे\N_NST के\PSP अदमियाँ\N_NN खिलाव\V_VM ।\RD_PUNC
msd119	ओही\DM_DMD हम्मर\PR_PRP जान\N_NN बचौलकै\V_VM हे\V_VAUX ।\RD_PUNC
msd12	तब\PR_PRL रानी\N_NN अप्पन\PR_PRP मरद\N_NN के\PSP हाल\N_NN सुना\V_VM देलकई\V_VAUX ।\RD_PUNC
msd120	एगो\QT_QTC राजा\N_NN के\PSP सात\QT_QTC बेटा\N_NN आउ\CC_CCD एक\QT_QTC बेटी\N_NN हल\V_VM ।\RD_PUNC
msd121	सातो\QT_QTC बेटा\N_NN के\PSP पहिले\N_NST सादी\N_NN भे\V_VM गेल\V_VAUX ।\RD_PUNC
msd122	बेटी\N_NN के\PSP भी\RP_RPD शादी\N_NN ठीक\JJ हो\V_VM गेल\V_VAUX बारात\N_NN आयल\V_VM आउ\CC_CCD सादी\N_NN भी\RP_RPD हो\V_VM गाल\V_VAUX ।\RD_PUNC
msd123	कोहबर\N_NN में\PSP लोग\N_NN ओकरा\PR_PRP से\PSP नाम\N_NN पुछलन\V_VM ।\RD_PUNC
msd124	ऊ\PR_PRP कहलक\V_VM कि\CC_CCS नाम\N_NN कहम\V_VM तब\PR_PRL हम\PR_PRP मर\V_VM जायम\V_VAUX ।\RD_PUNC
